2.52008,1.52982,0.89472,0.60921,0.91035,1.1913,1.17188,0.93667,0.6343,0.4472,0.4461,0.40896,0.29489,0.21891,0.16852,0.1449
1.64843,6.43053,1.74621,0.68262,0.47159,0.95233,1.16782,1.06723,0.90149,0.54694,0.43246,0.36696,0.32098,0.22199,0.16533,0.14504
0.61711,2.70411,9.44356,1.39048,0.65499,0.60694,0.76548,1.00238,1.00367,0.69743,0.47397,0.31974,0.24178,0.2078,0.17308,0.15154
0.41196,0.79103,3.29687,8.77394,1.61921,0.8009,0.54181,0.76376,0.83533,0.78934,0.50573,0.31353,0.2224,0.17829,0.14868,0.13937
0.62297,0.5377,0.64666,2.81304,3.7985,1.77303,0.93452,0.68057,0.65866,0.78567,0.56736,0.41145,0.24868,0.1799,0.17698,0.15056
1.07491,0.6443,0.42043,1.05534,2.29569,2.76063,1.59169,1.07666,0.86399,0.77464,0.79858,0.52062,0.35154,0.22676,0.17621,0.14567
1.00086,1.2216,0.95965,0.58959,1.19389,1.75191,1.9537,1.46667,1.03799,0.8015,0.69173,0.58828,0.42207,0.25538,0.17289,0.15643
0.94227,1.3724,1.17555,0.87418,0.86911,1.3546,1.57587,1.90833,1.52863,0.98249,0.74207,0.50892,0.44351,0.30691,0.2259,0.16743
0.72451,1.0454,1.33281,1.12133,1.07778,1.16854,1.40287,1.51254,1.74738,1.25215,0.87589,0.44452,0.39585,0.29834,0.22694,0.20355
0.42616,0.59659,0.84958,1.26338,1.1073,1.06189,1.11439,1.20151,1.28272,1.3376,0.96246,0.54783,0.34146,0.25558,0.22547,0.19584
0.47355,0.54279,0.80697,1.06142,1.30697,1.50007,1.14338,0.99975,1.24953,1.33291,1.15227,0.79662,0.41373,0.23467,0.21297,0.20045
0.64599,0.62988,0.64263,0.72237,0.99784,1.41938,1.35482,0.94692,0.96018,0.78933,0.95489,0.84981,0.56528,0.28255,0.1911,0.16942
0.65209,0.67866,0.55202,0.5646,0.74316,1.01866,1.08597,1.08729,0.81295,0.62447,0.55628,0.69681,0.58917,0.39678,0.23771,0.17668
0.43592,0.58544,0.49544,0.38562,0.55842,0.71758,0.93477,0.89596,0.79131,0.46906,0.42712,0.44731,0.48456,0.42693,0.26236,0.17389
0.28716,0.55181,0.57039,0.63054,0.42277,0.58513,0.56696,0.84898,0.89354,0.66969,0.41927,0.34734,0.49409,0.45625,0.41312,0.25471
0.31899,0.36987,0.49909,0.46073,0.34149,0.35251,0.49369,0.52638,0.59593,0.62426,0.49412,0.29425,0.2574,0.30615,0.30347,0.23836
